word,mean,Junior,Senior,CET4,CET6,GEE,GRE,SAT,TOEFL,check
Australian,adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人,☆,☆,☆,,,,,☆,
Austrian,"n. 奥地利人 adj. 奥地利的, 奥地利人的",,,,,,,,☆,
Automatically,adv. 自动地；不经思考地,,,,☆,,,,,
Baby,n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的,,☆,,,,,,,
Babylonian,adj. 巴比伦的；奢华的 n.  巴比伦人,,,,,,,,☆,
Baltic,"n. a波罗的海的, 波罗的语的",,,,,,,,☆,
Bantu,"n. 班图人, 班图语",,,,,,,,☆,
Belgium,n. 比利时（西欧国家，首都布鲁塞尔Brussels）,,☆,,,,,,,
Berlin,n. 柏林[德国],,,,,,,,☆,
Bible,n. 基督教《圣经》,,,☆,,☆,,,,
Boston,n. 波士顿,,,,,,,,☆,
Brazilian,adj.  巴西的； 巴西人的 n. 巴西人,☆,,,,,,,,
Britain,n. 英国；不列颠,,☆,☆,,,,,☆,
British,adj. 英国的；英国人的；大不列颠的 n. 英国人,,☆,☆,,,,,☆,
Buddhism,n. 佛教，释教,,☆,,☆,,,,,
Buddhist,n. 佛教徒 adj. 佛教的,,☆,,,,,,,
Byzantine,a.像迷宫似的；难变更的,,,,,,☆,,,
CD,abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）,☆,☆,,,,,,,
Caledonian,"n&a. 古苏格兰人(的), 苏格兰人（的）",,,,,,,,☆,
California,"n. 加利福尼亚,加州",,,,,,,,☆,
Californian,n. 加利福尼亚州人 a加州的,,,,,,,,☆,
Calvinism,n.   加尔文教义， 加尔文主义,,,,,,,☆,,
Calvinist,n. 加尔文教徒(见Calvin),,,,,,,,☆,
Cambrian,n. 威尔斯人,,,,,,,,☆,
Canada,n. 加拿大（北美洲国家）,☆,☆,☆,,,,,☆,
Canadian,adj. 加拿大（人）的 n. 加拿大人,,☆,☆,,,,,,
Caribbean,n. 加勒比海,,,,,,,,☆,
Catholic,adj. 天主教的 n. 天主教徒,,☆,,☆,☆,,,,
Catholicism,n.  天主教义、 信仰及组织； 天主教,,,,,,,☆,,
Chicago,n. 芝加哥,,,,,,,,☆,
Chile,n. 智利,,,,,,,,☆,
China,n. 中国 adj. 中国的；中国制造的,☆,☆,☆,,,,,☆,
Chinese,n. 中文，汉语；中国人 adj. 中国的，中国人的；中国话的,☆,☆,☆,,,,,☆,
Christ,n. 救世主（耶稣基督）,,,☆,☆,☆,,,,
Christian,n. 基督徒，信徒 adj. 基督教的；信基督教的,,☆,☆,☆,☆,,,,
Christmas,n. 圣诞节；圣诞节期间,☆,☆,☆,,,,,,
Cincinnati,n. 辛辛那提（美国俄亥俄州西南部城市）,,,,,,,,☆,
Columbia,n. 哥伦比亚,,,,,,,,☆,
Cuban,n. 古巴人 adj. 古巴(人)的,,,,,,,,☆,
DNA,abbr. [生化]脱氧核糖核酸(=deoxyribonucleic acid),,,,,,,,☆,
DVD,abbr. 数字化视频光盘（Digital Video Disk）,,☆,,,,,,,
December,n. 十二月(略作Dec),☆,☆,☆,,,,,☆,
Denmark,n. 丹麦,,,,,,,,☆,
Dr,abbr. 速度三角形定位法（dead reckoning）；数据记录器（Data Recorder）,,☆,,,,,,,
Dutch,n. 荷兰人 adj. 荷兰的,,,,,,,,☆,
Dutchman,n. 荷兰人,,,,,,,,☆,
Dynamic,adj. 动态的；动力的；动力学的；有活力的 n. 动态；动力,,☆,,,,,,,
Dynasty,n. 王朝，朝代,,☆,,,,,,,
Easter,n.  复活节,,☆,,☆,☆,,,☆,
Egypt,n. 埃及（非洲国家）,,☆,,,,,,☆,
Egyptian,adj. 埃及的；埃及人的 n. 埃及人；古代埃及语,,☆,,☆,,,,,
England,n.  英格兰， 英国,☆,☆,☆,,,,,☆,
English,adj. 英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语,☆,☆,☆,,,,,☆,
Englishman,n. 英国男子,,,☆,,,,,,
Erie,n. 伊利(人),,,,,,,,☆,
Euphrates,n. 幼发拉底河,,,,,,,,☆,
Eurasia,n. 欧亚大陆,,,,,,,,☆,
Eurasian,"adj. 欧亚的, 欧亚人的",,,,,,,,☆,
Europe,n.  欧洲,☆,☆,☆,,,,,☆,
European,adj. 欧洲的，欧洲人的 n.  欧洲人,☆,☆,☆,,,,,☆,
FALSE,adj. 错误的；虚伪的；伪造的 adv. 欺诈地,,☆,,,,,,,
Fahrenheit,adj.  华氏温度的 n. 华氏温度计,,,☆,,,,,☆,
February,n. 二月(略作Feb),☆,☆,☆,,,,,☆,
Finnish,adj. 芬兰的,,,,,,,,☆,
Florida,n. 佛罗里达(美国州名),,,,,,,,☆,
France,"n. 法国,法兰西",☆,,☆,,,,,☆,
French,adj. 法国的；法语的；法国人的 n. 法国人；法语,☆,☆,☆,,,,,☆,
Frenchman,n. 法国人,,☆,,,,,,,
Friday,n.  星期五,☆,☆,☆,,,,,,
Galilean,"adj. 伽利略的, 加利利的（位于巴基斯坦北部）",,,,,,,,☆,
Georgia,n. (美)乔治亚州,,,,,,,,☆,
German,adj. 德国的；德语的，德国人的 n. 德语；德国人,,☆,☆,,,,,☆,
Germany,n. 德意志，德国,,☆,☆,,,,,☆,
God,n. 神，神像；上帝,,,☆,,,,,,
Gothic,adj. 哥特式的，哥特风格的 n.  哥特式建筑,,,,,,,,☆,
Grecian,"adj. 希腊的, 希腊式的 n希腊学家",,,,,,,,☆,
Greece,n. 希腊（欧洲南部国家）,,☆,,,,,,☆,
Greek,n. 希腊语；希腊人 adj. 希腊的；希腊人的，希腊语的,,☆,☆,,,,,☆,
Guinea,n. 几内亚,,,,,,,,☆,
Gypsy,"n&a. 吉普赛人(的),吉普赛语（的）",,,,,,,,☆,
Haiti,n. 海地,,,,,,,,☆,
Hampshire,n. 汉普郡(英国南部之一郡),,,,,,,,☆,
Harlem,n. (纽约的）黑人住宅区,,,,,,,,☆,
Harvard,n. 哈佛大学(美国),,,,,,,,☆,
Hawaii,n. 夏威夷,,,,,,,,☆,
Health,n. 健康,,,,,,,,☆,
Heaven,n. 上帝，神,,,,☆,,,,,
Henderson,n. 亨德森（姓氏）,,,,,,,,☆,
Himalaya,n. 喜马拉雅山,,,,,,,,☆,
Hispanic,adj. 西班牙的,,,,,,,,☆,
Holland,n. 荷兰,,,,,,,,☆,
Hollywood,n. 好莱坞,,,,,,,,☆,
I,pron. 我 n. 碘元素；英语字母I,☆,☆,☆,,,,,,
ID,"abbr. 身份 (identification, identity) n. 遗传素质",,,,,,,,☆,
Iceland,"n. 冰岛(欧洲岛名,在大西洋北部,近北极圈)",,☆,,,,,,☆,
Illinois,n. 伊利诺斯州(美国州名),,,,,,,,☆,
Impressionism,"n. 印象派, 印象主义",,,,,,,,☆,
Inca,n. 印加人(古代秘鲁土著人),,,,,,,,☆,
India,n. 印度（南亚国家）,☆,☆,☆,,,,,☆,
Indian,adj. 印度的；印第安人的；印第安语的 n. 印度人；印第安人；印第安语,☆,☆,☆,,,,,☆,
Indiana,n. 印地安那州,,,,,,,,☆,
Indicate,v. 表明；指出；预示；象征,,☆,,,,,,,
Indonesia,n. 印尼(东南亚岛国),,,,,,,,☆,
Indus,n. 印度河（印度西北部的河流）,,,,,,,,☆,
Internet,n.  互联网， 因特网,☆,,,,,,,,
Interstate,adj. 州际的,,,,,,,,☆,
Inuit,"n. 因纽特人,  因纽特语",,,,,,,,☆,
Iraq,n. 伊拉克共和国,,,,,,,,☆,
Ireland,n. 爱尔兰,,☆,,,,,,,
Irish,adj. 爱尔兰的；爱尔兰人的 n. 爱尔兰人；爱尔兰语；爱尔兰,,☆,,,,,,☆,
Iron,n. 熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的,,,,,,,☆,,
Iron Fe,n.  铁,,,,,,,☆,,
Iroquois,n. 易洛魁族人,,,,,,,,☆,
Islam,n. 伊斯兰教，回教,,,,☆,,,,,
Isle,n. ( 小)岛,,,,,,,,☆,
Israel,n. [地名] 以色列,,,,,,,,☆,
Italian,adj. 意大利的；意大利文化的；意大利语的 n. 意大利人；意大利语,,☆,☆,,,,,☆,
Italy,n. 意大利(欧洲南部国家),,☆,,,,,,☆,
January,n. 一月(略作Jan),☆,☆,☆,,,,,☆,
Japan,n. 日本（东亚国家名）,☆,☆,☆,,,,,☆,
Japanese,adj. 日本（人）的；日语的 n. 日本人；日语,☆,☆,☆,,,,,☆,
Jesus,n. 耶稣,,,,☆,,,,,
Jew,n.  犹太人； 犹太教徒,☆,,,,,,,,
Jewett,n. 朱厄特（姓氏）,,,,,,,,☆,
Jules,n. 朱尔斯（男子名）,,,,,,,,☆,
July,n. 七月(略作Jul),☆,,☆,,,,,☆,
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,☆,☆,☆,,,,,☆,
Jupiter,n. 木星；丘庇特,,,,☆,,,,☆,
Katherine,n. 凯瑟琳（女子名）,,,,,,,,☆,
Kenya,n. 肯尼亚,,,,,,,,☆,
Korean,"n. 韩国人, 韩国语 a朝鲜人的, 朝鲜语的",,,,,,,,☆,
Latin,adj. 拉丁的；拉丁语的 n.  拉丁语,,,☆,,☆,,,☆,
London,n.  伦敦,☆,☆,,,,,,☆,
Lost,adj. 失去的；丧失的；迷惑的 v. 遗失（lose的过去分词）；失败,,☆,,,,,,,
Lowa,n. 爱荷华州(美国中西部的一州),,,,,,,,☆,
Maine,n. 缅因州(美国东北角的州),,,,,,,,☆,
Manhattan,n. 曼哈顿岛(美国纽约一区),,,,,,,,☆,
March,n. 三月(略作 Mar.),☆,☆,☆,,☆,,,,
Mars,n.  火星； 战神,☆,,,☆,,,,,
Marseille,n. 马赛(法国港口城市),,,,,,,,☆,
Marxism,n. 马克思主义,,,☆,,,,,,
Marxist,adj. 马克思主义的 n. 马克思主义者,,,☆,,☆,,,,
Massachusetts,n. 马萨诸塞(美国州名),,,,,,,,☆,
May,n. 五月,☆,☆,,,,,,,
Maya,"n. 玛雅人,玛雅语",,,,,,,,☆,
Mediterranean,n. 地中海 adj. 地中海的,,,☆,,,,,☆,
Mesolithic,adj. 中石器时代的 n.  中石器时代,,,,,,,,☆,
Mexican,adj. 墨西哥的；墨西哥人的 n. 墨西哥人；墨西哥语,,☆,,,,,,☆,
Mexico,n. 墨西哥(拉丁美洲国家),,☆,,,,,,☆,
Miami,n. 迈阿密(美国佛罗里州达东南部港市),,,,,,,,☆,
Michigan,n. 密歇根州(美国州名),,,,,,,,☆,
Militant,adj. 好战的n好斗者,,,,,,,,☆,
Minneapolis,n. 明尼苏达[美国州名],,,,,,,,☆,
Minnesota,n. 明尼苏达州(美国州名),,,,,,,,☆,
Miss,n. 女士，小姐，年轻未婚女子,☆,☆,,,,,,,
Mississippi,"n. 密西西比河,密西西比州(美国州名)",,,,,,,,☆,
Mississippian,adj. 密西西比河的 n密西西比州人,,,,,,,,☆,
Missouri,n. 密苏里州(美国州名),,,,,,,,☆,
Mister,n. 先生,,,☆,,,,,,
Mom,n. 妈妈,,☆,,,,,,,
Monday,n.  星期一,☆,☆,☆,,☆,,,,
Mongolia,n. 蒙古,,,,,,,,☆,
Monroe,n. 门罗(m),,,,,,,,☆,
Moscow,n. 莫斯科（俄罗斯首都）,,☆,,,,,,,
Moslem,adj. 穆斯林的；伊斯兰教的；回教的 n. 穆斯林；穆罕默德信徒；伊斯兰,,☆,,☆,,,,,
Mosquito,n. 蚊子,,☆,,,,,,,
Mr.,n.  先生,☆,,,,,,,,
Negro,n. 黑人,,,☆,,,,,,
Neolithic,adj.  新石器时代的,,,,,,,,☆,
Netherland,n. 荷兰,,,,,,,,☆,
Netherlands,n. 荷兰[国家],,,,,,,,☆,
Nevada,n. 内华达州(美国西部内陆州),,,,,,,,☆,
Norman,n&a. 法国诺曼第人(的),,,,,,,,☆,
Norway,n. 挪威(北欧国家),,,,,,,,☆,
Norwegian,"adj. 挪威的 n挪威人, 挪威语",,,,,,,,☆,
November,n. 十一月(略作Nov),☆,☆,☆,,,,,☆,
OK,adj. 好的；不错的 adv. 行；很好 int. 好；可以 v. 对…表示同意 n. 同意,☆,☆,,,,,,,
Oakland,n. 奥克兰(美国加利福尼亚州西部城市),,,,,,,,☆,
Oceania,n.  大洋洲,,☆,☆,,,,,☆,
October,n. 十月(略作Oct),☆,☆,☆,,,,,☆,
Ohio,n. 俄亥俄州(美国州名),,,,,,,,☆,
Oklahoma,n. 俄克拉荷马州,,,,,,,,☆,
Ontario,n. 安大略湖[北美洲],,,,,,,,☆,
Oregon,n. 俄勒冈州(美国州名),,,,,,,,☆,
Ottawa,n. 渥太华（加拿大首都）,,☆,,,,,,,
Oxygen,n. [化学] 氧气，[化学] 氧,,,,,,,☆,,
Oxygen O,n.  氧,,,,,,,☆,,
PM,abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）,,☆,,,,,,,
Pacific,adj. 太平洋的 n. 太平洋,,☆,,,,,,☆,
Pakistan,n. 巴基斯坦(南亚国家),,,,,,,,☆,
Paleolithic,adj. 旧石器时代的 n.  旧石器时代,,,,,,,,☆,
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）,☆,☆,,,,,,☆,
Parisian,n&a. 巴黎(人)(的),,,,,,,,☆,
Patricia,n. 帕特丽夏（女子名）,,,,,,,,☆,
Pawnee,n. 波尼族人(语),,,,,,,,☆,
Pennsylvania,n. 宾夕法尼亚州（美国州名）,,,,,,,,☆,
Peru,n. 秘鲁,,,,,,,,☆,
Philadelphia,n. 费城(美国宾西法尼亚州东南部港市),,,,,,,,☆,
Philippine,"adj. 菲律宾的, 菲律宾人的",,,,,,,,☆,
Phosphorus,n.  磷,,,,,,,☆,,
PhosphorusP,n.  磷,,,,,,,☆,,
Polynesian,"n. 波利尼西亚人, 波利尼西亚语",,,,,,,,☆,
Portugal,n. 葡萄牙(欧洲西南部国家),,,,,,,,☆,
Pueblo,n.  普韦布洛印第安人村落； 普韦布洛人,,,,,,,,☆,
Reykjavik,n. 雷克雅末(冰岛首都),,,,,,,,☆,
Roman,n. 古罗马人 adj. 罗马的,,,☆,☆,,,,,
Rome,n. 罗马,,,,,,,,☆,
Rusia,鲁西亚（地名）,☆,,,,,,,,
Russia,n.  俄国， 俄罗斯,☆,☆,,,,,,☆,
Russian,adj. 俄国的；俄语的 n. 俄语；俄国人,☆,☆,,,,,,☆,
Sac,"n. 〈生〉囊,液囊",,,,,,,,☆,
Sanskrit,n& a. 梵语(的),,,,,,,,☆,
Saturday,n.  星期六,☆,☆,,,,,,,
Saturn,n.  土星,,,,☆,,,,☆,
Scotland,"n. 苏格兰(英国的一部分,在不列颠北部)",,☆,,,,,,☆,
Scottish,adj. 苏格兰的；苏格兰人的；苏格兰语的 n. 苏格兰人；苏格兰语,,☆,,,,,,☆,
Scratch,n. 擦伤；抓痕；刮擦声；乱写 adj. 打草稿用的；凑合的；碰巧的 v. 抓；刮；挖出；乱涂,,☆,,,,,,,
Seattle,n. 西雅图,,,,,,,,☆,
Semitic,n. /a闪族人(语) (的),,,,,,,,☆,
September,n.  九月,☆,☆,,,,,,,
Shakespeare,"n. 莎士比亚(1564-1616,英国剧作家,诗人)",,,,,,,,☆,
Shanghai,n. 上海（中国东部港市）,,☆,,,,,,,
Shoshone,n. 美国休休尼族印第安人;休休尼语,,,,,,,,☆,
Soviet,n&a. 苏维埃(的),,,,,,,,☆,
Spain,n. 西班牙(欧洲南部国家),,☆,,,,,,☆,
Spanish,adj. 西班牙的；西班牙人的；西班牙语的 n. 西班牙语；西班牙人,,☆,,,,,,☆,
Stamford,n. 斯坦福德[美国康涅狄格州西南部城市],,,,,,,,☆,
Sunday,n. 星期日；礼拜日,☆,☆,,,,,,,
Sweden,n. 瑞典,,,,,,,,☆,
Swiss,adj. 瑞士的；瑞士人的；瑞士风格的 n. 瑞士人；瑞士腔调,,☆,,,,,,☆,
Switzerland,n. 瑞士(欧洲中部国家),,☆,,,,,,☆,
TRUE,adj.  真实的， 确实的； 真正的， 真的； 忠诚的， 忠实的； 准确的， 精确的,☆,☆,,,,,,,
TV,abbr. 电视（television）,,☆,,,,,,,
Talbot,n. [动]塔尔博特提猎狗,,,,,,,,☆,
Tasmania,"n. 塔斯马尼亚岛, 塔斯马尼亚州(澳大利亚州名)",,,,,,,,☆,
Tennessee,n. 田纳西州,,,,,,,,☆,
Texas,n. 德克萨斯州(美国州名),,,,,,,,☆,
Thai,"n. 泰国人, 泰国语",,,,,,,,☆,
Thailand,n. 泰国,,,,,,,,☆,
Thames,"n. 泰晤士河(流经牛津,伦敦等)",,,,,,,,☆,
Thanksgiving,n. 感恩节,,,,☆,☆,,,,
Thursday,n.  星期四,☆,☆,,,,,,,
Tibet,n. 西藏（中国一自治区）,,☆,,,,,,,
Tibetan,adj. 西藏的；藏族的 n. 藏语；西藏人,,☆,,,,,,,
Tokyo,n. 东京（日本首都）,,☆,,,,,,,
Toronto,n. 多伦多（加拿大）,,,,,,,,☆,
Tuesday,n.  星期二,☆,☆,,,,,,,
Turkic,"n. 土耳其语(的), 土耳其语系者(的)",,,,,,,,☆,
UK,abbr. 联合王国（United Kingdom） n. 英国,,☆,,,,,,,
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）,,☆,,,,,,,
USA,abbr. 美国(美利坚合众国),,,,,,,,☆,
Utah,"n. 犹他州(略作Ut,UT)",,,,,,,,☆,
Ute,"n. 犹特人(美洲印第安人的一种), 犹特语",,,,,,,,☆,
Utopian,adj. 乌托邦式的，梦想的,,,,,,,,☆,
VCD,abbr. 视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）,☆,,,,,,,,
Vancouver,n. 温哥华（城市名),,,,,,,,☆,
Venice,n. 威尼斯(意大利港市),,,,,,,,☆,
Venus,n. 维纳斯；美人,,,,☆,,,,,
Victorian,adj. 维多利亚女王时代的,,,,,,,,☆,
Virginian,n. 弗吉尼亚州的人,,,,,,,,☆,
Washington,n. 华盛顿,,,,,,,,☆,
Washingtonian,n. /a(美国)华盛顿市(或州)人,,,,,,,,☆,
Wednesday,n.  星期三,☆,☆,,,,,,,
Wheel,n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子,☆,,,,,,,,
X-ray,n. X射线，X光 v. 用X光拍照，给…照X光,,,☆,,☆,,☆,☆,
Yale,n. 耶鲁,,,,,,,,☆,
Yang,n.  阳,☆,,,,,,,,
Yin,n.  阴,☆,,,,,,,,
Yorkshire,"n. 约克郡,约克夏(英国英格兰原郡名)",,,,,,,,☆,
Yuan,n. 元(中国货币单位),,,,,,,,☆,
Yucatan,n. 尤卡坦半岛,,,,,,,,☆,
Zealand,n. 西兰岛(丹麦最大的岛),,,,,,,,☆,
a,indefinite article. 一，一个〔用于未曾提及或对方不知道的人或物的名称前〕,☆,☆,☆,,,,,,
a.,n. 天主教徒,,,,,☆,,,,
abalone,n. [动]鲍鱼(软体动物),,,,,,,,☆,
abandon,vt. 离弃，丢弃；遗弃，抛弃；放弃 n. 放任； 纵情,,☆,☆,☆,☆,☆,☆,☆,
abandonment,n. 放弃,,,,☆,,,,☆,
abase,v. 使…谦卑；降低…的品格；降低…的地位,,,,,,☆,☆,,
abash,v. 使困窘；使羞愧；使局促不安,,,,,,☆,☆,,
abate,v. 减轻；减少；废除 n. (Abate)人名；(英、意、法、埃塞)阿巴特,,,,,,☆,☆,☆,
abbess,n.  女修道院院长， 尼姑庵住持,,,,,,,☆,,
abbey,n. 大修道院，大寺院；修道院中全体修士或修女,,,,,,,☆,☆,
abbreviate,v.  缩写， 缩短， 简化,,,,,,☆,☆,☆,
abbreviation,n. 节略，缩写，缩短,,,,☆,,,,,
abdicate,v.退位，辞职，放弃,,,,,,☆,☆,,
abdomen,n. 腹部；下腹；腹腔,,,,,☆,,☆,,
abdominal,adj. 腹部的；有腹鳍的,,,,,,,☆,,
abduct,v. 绑架，拐走,,,,,,☆,,,
abduction,n. 诱拐，绑架；诱导,,,,,,,☆,,
abed,adv. 在床上 n. (Abed)人名；(法)阿贝；(阿拉伯)阿比德,,,,,,,☆,,
aberrant,adj.  越轨的； 异常的,,,,,,☆,,☆,
aberration,n.离开正路，脱离常轨；变形,,,,,,☆,☆,,
abet,v. 煽动，教唆；支持 n. (Abet)人名；(意)阿贝特；(匈)奥拜特,,,,,,☆,☆,,
abeyance,n. 中止，停顿；归属待定，暂搁,,,,,,☆,☆,,
abhor,vt.  憎恨， 厌恶,,,,,,☆,,☆,
abhorrence,n.  痛恨， 憎恶,,,,,,,☆,,
abhorrent,adj. 可恶的；厌恶的；格格不入的,,,,,,☆,☆,,
abidance,n. 持续；遵守；居住,,,,,,,☆,,
abide,v. 忍受，容忍；停留；遵守,,,,☆,☆,☆,,,
abiding,adj.  持久的， 永久的,,,,,,,,☆,
abigail,n. (贵妇人的贴身)使女,,,,,,,,☆,
ability,n.  能力， 本领； 才能， 才智,☆,☆,☆,,☆,,,☆,
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的,,,,,,☆,☆,,
abjure,v. 发誓放弃；公开放弃；避免,,,,,,☆,☆,,
ablaze,adj.  着火的， 燃烧的； 闪耀的； 情绪激动的,,,,,,,,☆,
able,adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔,☆,☆,☆,,,,,☆,
ablution,n. 洗礼；洗澡（常用复数）；斋戒沐浴,,,,,,☆,☆,,
abnegate,v. 放弃；舍弃；禁忌,,,,,,☆,☆,,
abnegation,n. 放弃; 自我牺牲,,,,,,☆,,,
abnormal,adj. 反常的，不规则的；变态的,,☆,☆,☆,☆,,☆,☆,
abnormality,n. 变态 畸形,,,,,,,,☆,
abnormally,adv. 不正常地,,,,☆,,,,,
aboard,adv. 在飞机上；[船] 在船上；在火车上 prep. 在…上,,☆,☆,,☆,,,☆,
abolish,v.废止，废除(法律、制度、习俗等),,☆,,☆,☆,☆,,☆,
abolition,n.  废除， 废止； 废奴运动,,,,☆,,☆,,☆,
abominable,adj. 讨厌的；令人憎恶的；糟透的,,,,,,,☆,,
abominate,vt.  痛恨， 憎恶,,,,,,☆,☆,,
abomination,n.  憎恨， 厌恶； 可憎的事物,,,,,,,☆,,
aboriginal,adj. 原始的；土著的，土生土长的 n.  土著,,,,,,☆,☆,☆,
aborigine,n. 土著；土著居民,,,,,,,☆,☆,
abort,v.  夭折， 中止； 使流产,,,,,,,,☆,
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折,,☆,,☆,,,,,
abortive,adj.  落空的， 失败的,,,,,,☆,,☆,
abound,vi.  富于； 大量存在； 充满,,,,,☆,☆,,☆,
about,prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人,☆,☆,☆,,,,,,
above,prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文,☆,☆,☆,,,,,☆,
aboveboard,a&adv.光明正大的(地),,,,,,☆,,,
aboveground,adj. 在地面上的 adv. 地面上地,,,,,,,,☆,
abrade,v.  磨损， 摩擦； 折磨,,,,,,☆,☆,,
abrasion,n. 磨损；磨耗；擦伤,,,,,,☆,☆,☆,
abrasive,a.磨损的；生硬粗暴的,,,,,,☆,,,
abreast,adv.  并列地， 并排地,,,,,,☆,,☆,
abridge,vt.  缩短， 删节， 节略， 精简,,,,,,☆,☆,☆,
abridgement,n. 节略，缩写；减少,,,,,,,☆,,
abroad,adv. 在国外；到海外 adj. 往国外的 n. 海外；异国,☆,☆,☆,,☆,,,☆,
abrogate,vt.  废除， 取消,,,,,,☆,☆,,
abrupt,adj.  突然的， 意外的；  唐突的， 鲁莽的,,☆,,☆,☆,☆,☆,☆,
abruptly,adv. 突然地；粗鲁地,,,☆,,,,,☆,
abruptness,"n. 唐突,粗鲁",,,,,,,,☆,
abscission,n. 切除，截去； 脱离,,,,,,☆,,,
abscond,v. 逃匿，潜逃；避债,,,,,,☆,☆,,
absence,n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在,,☆,☆,☆,☆,,☆,☆,
absent,adj. 缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的,☆,☆,☆,☆,☆,,,☆,
absent-minded,adj.  心不在焉的， 出神的,,,,,,,☆,,
absenteeism,n.  旷课； 旷工,,,,,,☆,,☆,
absolute,adj.  完全的， 绝对的； 地道的； 无疑的， 确凿的； 不受限制的， 不受约束的,,☆,☆,,☆,☆,,☆,
absolutely,"adv. 完全地, 绝对地",,,☆,☆,,,,☆,
absolution,n.  免罪， 赦免,,,,,,,☆,,
absolve,vt.  赦免； 免除； 宽恕,,,,,,☆,☆,☆,
absorb,vt.  吸收； 理解， 掌握； 吸引…的注意， 使全神贯注； 使并入， 同化,,☆,☆,☆,☆,☆,☆,☆,
absorption,n.  吸收； 全神贯注， 专心致志,,,,☆,,,☆,☆,
abstain,vi.  禁绝， 放弃,,,,,,☆,☆,,
abstemious,a.有节制的，节俭的(eating & drinking),,,,,,☆,☆,,
abstention,n.节制,,,,,,☆,,,
abstentious,a.节制的,,,,,,☆,,,
abstinent,a. 饮食有度的，有节制的，禁欲的,,,,,,☆,,,
