word,mean,check
English,adj. 英国人的；英国的；英文的 n. 英语；英国人；英文；英格兰人 vt. 把…译成英语,
Europe,n.  欧洲,
European,adj. 欧洲的，欧洲人的 n.  欧洲人,
FALSE,adj. 错误的；虚伪的；伪造的 adv. 欺诈地,
February,n. 二月(略作Feb),
France,"n. 法国,法兰西",
French,adj. 法国的；法语的；法国人的 n. 法国人；法语,
Frenchman,n. 法国人,
Friday,n.  星期五,
German,adj. 德国的；德语的，德国人的 n. 德语；德国人,
Germany,n. 德意志，德国,
Greece,n. 希腊（欧洲南部国家）,
Greek,n. 希腊语；希腊人 adj. 希腊的；希腊人的，希腊语的,
I,pron. 我 n. 碘元素；英语字母I,
Iceland,"n. 冰岛(欧洲岛名,在大西洋北部,近北极圈)",
India,n. 印度（南亚国家）,
Indian,adj. 印度的；印第安人的；印第安语的 n. 印度人；印第安人；印第安语,
Indicate,v. 表明；指出；预示；象征,
Internet,n.  互联网， 因特网,
Ireland,n. 爱尔兰,
Irish,adj. 爱尔兰的；爱尔兰人的 n. 爱尔兰人；爱尔兰语；爱尔兰,
Italian,adj. 意大利的；意大利文化的；意大利语的 n. 意大利人；意大利语,
Italy,n. 意大利(欧洲南部国家),
January,n. 一月(略作Jan),
Japan,n. 日本（东亚国家名）,
Japanese,adj. 日本（人）的；日语的 n. 日本人；日语,
Jew,n.  犹太人； 犹太教徒,
July,n. 七月(略作Jul),
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）,
London,n.  伦敦,
Lost,adj. 失去的；丧失的；迷惑的 v. 遗失（lose的过去分词）；失败,
March,n. 三月(略作 Mar.),
Mars,n.  火星； 战神,
May,n. 五月,
Mexican,adj. 墨西哥的；墨西哥人的 n. 墨西哥人；墨西哥语,
Mexico,n. 墨西哥(拉丁美洲国家),
Miss,n. 女士，小姐，年轻未婚女子,
Mom,n. 妈妈,
Monday,n.  星期一,
Moscow,n. 莫斯科（俄罗斯首都）,
Moslem,adj. 穆斯林的；伊斯兰教的；回教的 n. 穆斯林；穆罕默德信徒；伊斯兰,
Mosquito,n. 蚊子,
Mr.,n.  先生,
November,n. 十一月(略作Nov),
OK,adj. 好的；不错的 adv. 行；很好 int. 好；可以 v. 对…表示同意 n. 同意,
Oceania,n.  大洋洲,
October,n. 十月(略作Oct),
Ottawa,n. 渥太华（加拿大首都）,
PM,abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）,
Pacific,adj. 太平洋的 n. 太平洋,
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）,
Rusia,鲁西亚（地名）,
Russia,n.  俄国， 俄罗斯,
Russian,adj. 俄国的；俄语的 n. 俄语；俄国人,
Saturday,n.  星期六,
Scotland,"n. 苏格兰(英国的一部分,在不列颠北部)",
Scottish,adj. 苏格兰的；苏格兰人的；苏格兰语的 n. 苏格兰人；苏格兰语,
Scratch,n. 擦伤；抓痕；刮擦声；乱写 adj. 打草稿用的；凑合的；碰巧的 v. 抓；刮；挖出；乱涂,
September,n.  九月,
Shanghai,n. 上海（中国东部港市）,
Spain,n. 西班牙(欧洲南部国家),
Spanish,adj. 西班牙的；西班牙人的；西班牙语的 n. 西班牙语；西班牙人,
Sunday,n. 星期日；礼拜日,
Swiss,adj. 瑞士的；瑞士人的；瑞士风格的 n. 瑞士人；瑞士腔调,
Switzerland,n. 瑞士(欧洲中部国家),
TRUE,adj.  真实的， 确实的； 真正的， 真的； 忠诚的， 忠实的； 准确的， 精确的,
TV,abbr. 电视（television）,
Thursday,n.  星期四,
Tibet,n. 西藏（中国一自治区）,
Tibetan,adj. 西藏的；藏族的 n. 藏语；西藏人,
Tokyo,n. 东京（日本首都）,
Tuesday,n.  星期二,
UK,abbr. 联合王国（United Kingdom） n. 英国,
UN,abbr. 联合国（United Nations）；硝酸铀铣（Uranyl Nitrate）,
VCD,abbr. 视频高密光盘（Video Compact Disc）；可变电容二极管（Variable Capacitance Diode）,
Wednesday,n.  星期三,
Wheel,n. 车轮；方向盘；转动 v. 转动；使变换方向；给…装轮子,
Yang,n.  阳,
Yin,n.  阴,
a,indefinite article. 一，一个〔用于未曾提及或对方不知道的人或物的名称前〕,
abandon,vt. 离弃，丢弃；遗弃，抛弃；放弃 n. 放任； 纵情,
ability,n.  能力， 本领； 才能， 才智,
able,adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔,
abnormal,adj. 反常的，不规则的；变态的,
aboard,adv. 在飞机上；[船] 在船上；在火车上 prep. 在…上,
abolish,v.废止，废除(法律、制度、习俗等),
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折,
about,prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人,
above,prep. 超过；在……上面；在……之上 adv. 在上面；在上文 adj. 上文的 n. 上文,
abroad,adv. 在国外；到海外 adj. 往国外的 n. 海外；异国,
abrupt,adj.  突然的， 意外的；  唐突的， 鲁莽的,
absence,n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在,
absent,adj. 缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的,
absolute,adj.  完全的， 绝对的； 地道的； 无疑的， 确凿的； 不受限制的， 不受约束的,
absorb,vt.  吸收； 理解， 掌握； 吸引…的注意， 使全神贯注； 使并入， 同化,
abstract,n. 摘要；抽象；抽象的概念 adj. 抽象的；深奥的 v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉,
absurd,adj. 荒谬的；可笑的 n. 荒诞；荒诞作品,
abundant,adj. 丰富的， 富裕的； 大量的， 充足的,
abuse,vt. 滥用； 虐待， 伤害； 辱骂， 毁谤 n. 滥用； 虐待， 伤害； 辱骂， 毁谤,
academic,adj. 学术的；理论的；学院的 n. 大学生，大学教师；学者,
academy,n.   专科院校， 研究院， 学会， 学术团体,
accelerate,v. 使加速，使增速，促进；加速,
accent,n. 口音；重音；强调；特点；重音符号 v. 强调；重读；带…口音讲话,
accept,v. 接受；承认；承担；承兑；容纳,
access,n. 通道；接近，进入；机会 vt.  进入； 使用； 存取,
accessible,adj.  易接近的， 可达到的； 易受影响的； 可理解的,
accessory,n. 配件；附件；[法] 从犯 adj. 副的；同谋的；附属的,
accident,n. 事故；意外；[法] 意外事件；机遇,
accommodation,n. 住处，膳宿；调节；和解；预订铺位,
accompany,vt.  为…伴奏； 陪伴， 陪同； 伴随， 和…一起发生,
accomplish,vt.  达到； 完成； 实现,
account,vi. 说明， 解释；占；导致， 引起 n. 账目； 账户；叙述， 说明,
accountant,"n. 会计(员), 会计师",
accumulate,v.积聚，积累(collect),
accuracy,n. 正确，准确；准确性；精确度,
accurate,adj. 正确无误的，准确的，精确的；精确的,
accuse,vt.  谴责； 指责， 归咎； 指控， 控告,
accustomed,adj. 习惯的；通常的；独有的 v. 使习惯于（accustom的过去分词）,
ache,v. 痛，疼痛；渴望 n.  疼痛,
achieve,v.  实现， 完成； 获得， 达到,
achievement,n.  [U] 完成， 达到； [C] 成就， 成绩,
acid,adj.  酸的， 酸味的； 尖刻的， 刻薄的 n. 酸，酸性物质,
acknowledge,vt. 承认， 承认…的权威； 告知收到， 确认； 对…表示谢意， 报偿,
acquaintance,n. 熟人；相识；了解；知道,
acquire,vt. 取得， 获得； 学到 <,
acquisition,n. 取得， 获得， 习得； 获得物， 增添的人,
acre,n. 英亩；田地；地产,
across,adv. 横过；到对面，向对面 prep.  穿过， 越过； 在对面,
act,v. 扮演；装作，举动像 n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势,
action,n. 行动； 已做的事； 作用， 功能； 情节,
active,adj. 积极的；活跃的；主动的；有效的；现役的 n. 主动语态；积极分子,
activity,n.  活动， 行动； 活跃， 活力,
actor,n. 男演员；行动者；作用物,
actress,n. 女演员,
actual,adj. 真实的，实际的；现行的，目前的,
acute,adj. 严重的，[医] 急性的；敏锐的；激烈的；尖声的,
adapt,v.  适合； 适应； 调整； 改编， 改写,
adaptation,n.  [U] 适应， 适合； [C] 改编本,
add,v. 加；增加；加起来；做加法 n. 加法，加法运算,
addicted,adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的 v. 使…上瘾（addict的过去分词）,
addition,n. 增添，添加；附加部分，增加(物)；加法,
address,v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理 n. 地址；演讲；致辞；说话的技巧；称呼,
adequate,adj.  适当的； 足够的； 适当的， 胜任的,
adj.,abbr. 调整（adjacent）,
adjust,vi. 调整， 适应 vt. 调节， 调整 <；校正， 校准 <,
adjustment,n.  调整， 调节； 校正,
administration,n. 管理； 管理部门， 行政机关； 实行， 执行,
admirable,adj. 令人钦佩的；极好的；值得赞扬的,
admire,vt. 钦佩， 羡慕； 赞赏， 称赞， 夸奖,
admission,n. 允许进入； 接纳， 收容 <；入场费， 入场券；承认,
admit,vi. 承认 vt. 承认，供认；准许…进入,
adolescence,n.  青春期,
adolescent,adj. 青春期的， 青少年的 n. 青少年 A,
adopt,v.  采用； 收养， 领养； 正式通过， 批准,
adore,v. 崇拜；爱慕；喜爱；极喜欢 n. (Adore)人名；(法)阿多尔,
adult,adj.  发育成熟的； 成熟的， 成人的 n. 成年人；成年动物,
advance,v. 前进，向前移动；发展，进步；促进；预付 adj.  预先的； 先头的 n. 前进；进展；预付,
advantage,v. 有利于， 有益于 n. 优点， 长处； 有利条件 <；利益， 好处,
adventure,n. 冒险；冒险精神；投机活动 v. 冒险；大胆说出,
adverb,n. 副词 adj. 副词的,
advertise,vt.  为…做广告， 宣传； 公告， 公布,
advertisement,n. 广告， 公告， 登广告； 广告活动， 宣传,
advice,n.  劝告， 忠告， 意见， 建议,
advise,"v. 劝告, 忠告, 警告, 建议",
advocate,vt. 拥护， 提倡， 主张 n. 拥护者， 提倡者； 辩护者， 律师,
aeroplane,n. 飞机（等于airplane）,
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事,
affect,v. 影响；感染；感动；假装 n. 情感；引起感情的因素,
affection,n. 爱， 慈爱；感情；影响,
afford,v. 给予，提供；买得起 n. (Afford)人名；(英)阿福德,
afraid,adj.  害怕的， 恐惧的； 犯愁的,
after,adv. 后来，以后 prep. 在……之后 conj. 在……之后 adj. 以后的,
afternoon,n.  下午， 午后,
afterward,"adv. 然后, 后来",
afterwards,"adv. 然后, 后来地",
again,adv.  再一次， 又一次； 回到原处， 复原； 再则， 而且,
against,prep.  逆， 反， 违反； 对…不利； 倚在， 紧靠着， 紧贴着； 和…比， 和…对照,
age,n. 年龄；时代；寿命，使用年限；阶段 v. 成熟；变老,
agency,n. 代理(处)，代办处；[美](政府的)机关，厅,
agenda,n. 议程；日常工作事项；日程表,☆
agent,n. 代理人，代理商；药剂；特工 vt. 由…作中介；由…代理 adj. 代理的,
aggression,n.  侵略； 敌对的情绪或行为,
aggressive,adj. 侵略的， 好斗的 <；敢作敢为的， 有进取心的； 积极的 A；强有力的,
ago,adv. 以前，以往 adj. 以前的；过去的 n. (Ago)人名；(英、西、意、塞、瑞典)阿戈,
agree,v.  同意， 赞同； 相符， 一致,
agreement,n.  同意， 一致； 协定， 协议,
agricultural,adj. 农业的；农艺的,
agriculture,n. 农业；农耕；农业生产；农艺，农学,
ahead,adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来,
aid,vt. 帮助， 援助， 救援 n. 帮助， 援助， 救护；助手； 辅助物， 辅助设备 A,
aim,v.  瞄准， 对准； 目的是， 旨在； 针对； 力争做到 n. 目的，目标；瞄准,
air,n. 空气，大气；天空；样子；曲调 v. 使通风，晾干；夸耀,
aircraft,n. 飞行器； 航空器； 飞机,
airline,n. 航空公司；航线 adj. 航线的,
airmail,n.  〈总称〉航空邮件,
airplane,n.  飞机,
airport,n. 机场，航空站，航空港,
airspace,n. 空域；领空；空间,
alarm,n. 警报；惊恐， 惊慌 vt. 使惊恐， 惊动， 惊吓 A；向…报警； 警告,
album,n.  粘贴簿； 集邮簿； 相册； 音乐专辑,
alcohol,n. 酒精， 乙醇,
alcoholic,adj. 酒精的；酒精中毒的 n.  饮酒过度的人,
algebra,n.  代数学,
alien,adj. 外国的；相异的，性质不同的；不相容的 n. 外国人，外侨；外星人 v. 让渡，转让,
alike,adv. 一样地，相似地；同样程度地 adj.  相同的， 相似的,
alive,adj.  活着的， 在世的； 存在的， 在起作用的； 有活力的， 活跃的， 有生,
all,adv.  完全地； 十分， 很 adj. 一切的，所有的；全部的，总的，整个的,
allergic,adj.  过敏的， 变态反应的； 对…讨厌的,
alley,n.  小巷； 弄堂； 胡同,
allocate,vt.  分配， 分派， 把…拨给,
allow,v.  允许， 准许， 容许； 允许…进入； 同意给； 承认,
allowance,n. 津贴，零用钱；允许；限额 v. 定量供应,
almost,adv.  几乎， 差不多,
alone,adj.  单独的， 孤独的； 单单， 仅； 独一无二的， 唯一的,
along,adv. 向前地；一道，一起 prep.  沿着， 循着,
alongside,adv. 在旁边，沿着边，并排地 prep. 在…旁边， 沿着…的边； 和…在一起,
aloud,adv.  大声地； 出声地,
alphabet,n. 字母表，字母系统；入门，初步,
already,adv. 已经，早已；先前,
alright,adv.  好， 好吧,
also,adv. 也；而且；同样 conj. 并且；另外 n. (Also)人名；(罗)阿尔索,
alternative,adj.  可供替代的； 非传统的 n. 可供选择的事物；选择的自由，选择的余地,
although,conj. 尽管；虽然；但是；然而,
altitude,n. 高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔,
altogether,adv. 完全地；总共；总而言之 n. 整个；裸体,
aluminium,adj. 铝的 n. 铝,
aluminum,n.  铝,
always,adv.  总是， 无例外地； 永远， 始终， 一直,
am,abbr. 调频，调谐，调幅（ amplitude modulation） v. （用于第一人称单数现在时） aux. （与v-ing连用构成现在进行时，与v-ed连用构成被动语态） n. （柬）安（人名）,
amateur,adj. 业余爱好的， 业余的； 外行的 n. 业余爱好者；外行,
amaze,vt. 使惊奇， 使惊愕， 使惊叹,
amazing,adj. 令人惊异的 v. 使吃惊（amaze的ing形式）,
ambassador,n. 大使；特使，(派驻国际组织的)代表,
ambassadress,n.  大使夫人； 女大使,
ambiguous,adj. 引起歧义的， 模棱两可的， 含糊不清的,
ambition,n. 野心，雄心；抱负，志向 v. 追求；有…野心,
ambulance,n. [车辆][医] 救护车；战时流动医院,
among,prep. 在一群(组)之中；在…之中，于…之间,
amount,v. 总计，合计；相当于；共计；产生…结果 n. 数量；总额，总数,
ample,adj. 丰富的；足够的；宽敞的 n. (Ample)人名；(西)安普尔,
amuse,v. 娱乐；消遣；使发笑；使愉快,
amusement,n.  娱乐， 消遣， 娱乐活动,
an,indefinite article. 一（个）〔用于以元音开头的单词前〕,
analyse,vt. 分析； 分解， 解析,
analysis,n. 分析， 分析报告； 分解， 解析,
analyze,v. 对…进行分析，分解（等于analyse）,
ancestor,n.  祖先， 祖宗； 原种； 原型,
anchor,n. 锚；抛锚停泊；靠山；新闻节目主播 v. 抛锚；使固定；主持节目 adj. 末棒的；最后一棒的,
ancient,adj. 古代的；古老的，过时的；年老的 n. 古代人；老人,
and,conj. 和，与；就；而且；但是；然后 n. (And)人名；(土、瑞典)安德,
anecdote,n.  轶事， 奇闻； 短故事,
anger,n. 怒，愤怒；忿怒 v. 使发怒，激怒；恼火,
angle,v.  把…放置成一角度； 使带上倾向性 n. 角；角度，立场，观点,
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的,
animal,n. 动物，兽 adj. 兽欲/动物本能等（animal urges/instincts）,
ankle,n. 踝， 踝关节,
anniversary,n. 周年，周年纪念日,
announce,vt.  宣布； 通知； 声称， 宣称； 广播， 播音,
announcement,n. 公告；宣告；发表；通告,
annoy,v. 骚扰；惹恼；打搅 n. 烦恼（等于annoyance）,
annual,adj.  一年一次的， 每年的； 一年生的 n. 一年生植物；年刊，年鉴,
another,adj. 又一，另一；另外的；不同的 pron. 另一个；又一个 prep. 另一个；另一个人,
answer,v.  回答， 答复； 解答， 解决； 作 n. 回答，答复；答案，解决办法,
ant,n.  蚂蚁,
antique,adj. 古老的，年代久远的；过时的，古董的；古风的，古式的 n. 古董，古玩；古风，古希腊和古罗马艺术风格 v. 觅购古玩,
anxiety,n. 挂念； 焦虑， 忧虑 A；渴望， 热望,
anxious,adj.  焦虑的， 发愁的， 令人焦急的； 渴望的， 急,
any,adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干 adv. 稍微；少许 n. (Any)人名；(法、罗)阿尼,
anybody,pron.  任何人； 随便哪一个人,
anyhow,adv. 无论如何， 不管怎么说； 随随便便地， 杂乱无章地,
anymore,adv.  再， 更， 还； 目前， 现在， 今后,
anyone,pron.  任何人； 随便哪一个人,
anything,pron.  无论什么东西， 随便什么事情； 任何东西， 任何事情,
anyway,adv.  不管怎么说， 无论如何； 不论以何种方式， 无论从什么角度,
anywhere,adv.  在什么地方， 在任何地方； 随便什么地方,
apart,adv. 相距；与众不同地；分离着 adj. 分离的；与众不同的,
apartment,n. [英]房间，套间；[美]公寓,
apologize,vi.  道歉， 认错； 辩解,
apology,n. 道歉；谢罪；辩护；勉强的替代物,
apparent,adj.  明显的， 显而易见的； 表面的； 貌似的,
appeal,v. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判 n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判,
appear,v.  出现， 显露， 来到； 看起来好像， 似乎； 产生， 问世； 发表,
appearance,n. 出现， 出场， 露面；外表， 外貌， 外观,
appendix,n.  附录， 附属品； 阑尾,
appetite,n. 食欲， 胃口；欲望； 爱好； 要求,
applaud,vi. 鼓掌，喝彩 vt. 向…鼓掌， 向…喝彩； 称赞， 赞许,
apple,n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,
applicant,n. 申请人，申请者；请求者,
application,n. 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性,
apply,vi. 适用； 申请， 请求； 涂， 敷， 施 vt. 应用，实施；使用；涂敷；把…施于,
appoint,vt. 任命， 委任； 约定， 指定,
appointment,n.  约会； 约定； 任命， 委派； 职务， 职位,
appreciate,vt. 重视， 赏识； 领会， 体会； 感谢； 增值,
appreciation,n.  欣赏； 理解， 体谅； 感激； 鉴定， 评价,
approach,v. 靠近， 接近， 邻近 n. 方法， 途径；探讨； 试探,
appropriate,adj. 适当的，恰当的 vt. 私吞； 拨款供专用,
approval,n.  赞成， 同意； 认可， 批准,
approve,vi. 赞成， 同意； 满意 vt. 批准， 审定， 通过 <,
approximately,adv.  近似地， 大约地,
apron,n. 围裙；[航] 停机坪；舞台口 vt. 着围裙于；围绕,
arbitrary,adj.  任意的； 武断的； 独裁的， 专断的,
arch,n. 弓形，拱形；拱门 adj. 主要的 v. 使…弯成弓形；用拱连接,
architect,n. 建筑师；设计师；缔造者；创造者,
architecture,n. 建筑学；建筑风格；建筑式样；架构,
are,v. 是（be的第二人称单复数现在式） n. 公亩,
area,n.  面积； 地区， 地方； 领域， 范围,
argue,v. 争论，辩论；提出理由 n. (Argue)人名；(英、法)阿格,
argument,n. 争论， 辩论； 理由； 说理， 论证,
arise,v. 出现；上升；起立 n. (Arise)人名；(西)阿里塞；(日)在濑(姓),
arithmetic,n. 算术， 四则运算,
arm,v.  以装备； 提供， 配备； n. 臂，前肢；臂状物，扶手；,
armchair,n. 扶手椅，单人沙发 adj. 不切实际的,
army,n. 陆军，军队,
around,adv. 在周围，在附近；到处，四周；大约 prep.  在…各处， 遍及； 在…四周； 在,
arrange,vt. 整理， 排列， 布置 A；安排， 筹备,
arrangement,n. 整理， 排列； 安排； 准备工作,
arrest,vt. 逮捕，拘留；停止，阻止；吸引 n. 逮捕， 拘留， 扣留,
arrival,n. 到达， 到来； 到达者， 到达物,
arrive,v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫,
arrow,n. 箭，箭头；箭状物；箭头记号 vt. 以箭头指示；箭一般地飞向,
art,n. 艺术；美术；艺术品 adj. 艺术的；艺术品的 v. 是（be的变体）,☆
article,n. 文章；物品；条款；[语] 冠词 v. 订约将…收为学徒或见习生；使…受协议条款的约束,
artificial,adj.  人工的， 人造的， 假的； 矫揉造作的， 假装,
artist,n. 艺术家，美术家；(某方面的)能手,
as,conj. 因为；随着；虽然；依照；当…时 prep. 如同；当作；以…的身份 adv. 同样地；和…一样的,
ash,"n. 灰(烬),[植]岑树",
ashamed,adj. 惭愧的，感到难为情的；耻于……的,
aside,adv. 离开，撇开；在旁边 n. 旁白；私语，悄悄话；离题的话 prep. 在…旁边,
ask,v. 问，询问；要求；需要；邀请；讨价 n. (Ask)人名；(芬、瑞典)阿斯克,
asleep,adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态,
aspect,n.  方面； 朝向， 方向； 外表， 外观,
assess,vt. 对估价； 评价， 评论,
assessment,n.  估价； 评价,
assist,n. 帮助；助攻 v. 参加；出席,
assistance,"n. 协助, 援助, 补助,",
assistant,n. 助手，助理，助教 adj. 辅助的，助理的；有帮助的,
associate,vi. 交往， 结合 adj. 副的 vt. 使联系， 使联合 n. 合作人， 伙伴， 同事， 同行,
association,n. 协会， 团体；联合； 联系； 交往；联想,
assume,v. 假定，设想；开始掌管/承担责任等；假装[装出]…的态度/样子/表情等,
assumption,n. 假定， 设想；采取， 承担； 僭取,
astonish,vt. 使惊讶， 使吃惊,
astronaut,n. 宇航员，航天员；太空旅行者,
astronomer,n.  天文学家,
astronomy,n.  天文学,
at,prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于 n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素） abbr. 密封的（airtight）；气温（air temperature）,
athlete,n. 运动员，体育家；身强力壮的人,
athletic,adj. 强壮的；擅长运动的；运动的，运动员的,
athletics,n. 竞技；体育运动；田径运动,
atmosphere,n.  大气， 大气层； 空气； 气氛， 氛围,
atom,n.  原子； 微粒， 微量,
attach,vt.  连接； 依附于； 系， 贴， 连接； 使依恋， 使喜爱 ； 认为有,
attack,n. 攻击，打击；突然发作 vt. 攻击， 进攻,
attain,v. 达到，实现；获得；到达 n. 成就,
attempt,n. 企图，试图；攻击 v. 企图，试图；尝试,
attend,v.  出席， 参加； 照料， 看管； 专心， 注意； 陪同,
attendant,adj. 伴随的， 随之而生的 n. 服务员， 值班员； 护理人员,
attention,n.  注意力， 专心； 关注； 关心； 立正姿势,
attentively,adv. 注意地；聚精会神地；周到地,
attitude,n. 态度；看法；意见；姿势,
attract,v. 吸引；引起的注意(或兴趣等),
attraction,n. 吸引， 吸引力； 引力； 具有吸引力的事物,
attractive,adj.  吸引人的， 有魅力的； 引起注意的,
audience,n. 观众；听众；读者；接见；正式会见；拜会,
aunt,n.  姑姑， 姨妈， 伯母， 婶婶， 舅妈,
authentic,adj.  真正的， 真实的； 逼真的； 可靠的,
author,n. 作者；作家；创始人 v. 创作出版,
authority,n. 权力； 威信； 权威；学术权威， 专家； 权威的典籍 A,
autograph,v.  签名 n. 亲笔签名,
automatic,adj. 自动的，机械的；不假思索的，无意识的；必然的，自然的 n. 自动手枪； 有自动装置的汽车,
autonomous,adj.  自治的； 独立自主的,
autumn,n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的,
available,adj. 现成可使用的， 通用的； 可取的； 联系的； 可得到的,
avenue,n. 大街；林荫大道；[比喻](达到某物的)途径，手段，方法，渠道,
average,n. 平均；平均数；海损 adj. 平均的；普通的；通常的 v. 算出…的平均数；将…平均分配；使…平衡,
avoid,v.  避免； 避开， 躲开； 预防,
awake,adj. 醒着的 v.  [awoke-awaken] 醒， 唤醒； 意识到， 醒悟,
award,v. 授予，给予；判给 n.  奖， 奖品； 报酬， 津贴,
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的 n. (Aware)人名；(阿拉伯、索)阿瓦雷,
away,adv. 向远处，离开 adj.  不在的； 离开的,
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的,
awful,adj.  极坏的； 糟糕的， 令人不快的； 可怕的； 非常的,
awkward,adj.  笨拙的， 不灵活的； 棘手的； 尴尬的； 使用不便的,
baby,n. 婴儿，婴孩；孩子气的人 v. 纵容，娇纵；把……当婴儿般对待 adj. 婴儿的；幼小的,
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽,
back,n. 后面；背部；靠背；足球等的后卫；书报等的末尾 v. 支持；后退；背书；下赌注 adv. 以前；向后地；来回地；上溯；回来；回原处 adj. 后面的；过去的；拖欠的,
backache,n. 背痛；腰痛,
background,n. 背景；隐蔽的位置 v. 作…的背景 adj. 背景的；发布背景材料的,
backward,adv. 向后， 朝反方向 < adj. 向后的； 落后的； 倒行的；迟钝的,
bacon,n. 咸肉；腌肉；熏猪肉,
bacterium,n. [微] 细菌；杆菌属,
bad,adj.  坏的； 不利的； 差的， 有缺陷的； 邪恶的， 道德败坏的； 严重的， 厉害的；,
badly,adv. 非常，很；严重地，厉害地；恶劣地,
badminton,n.  羽毛球,
bag,n. 袋；猎获物；（俚）一瓶啤酒 v. 猎获；把…装入袋中；占据，私吞；使膨大,
baggage,n. 行李；[交] 辎重（军队的）,
bake,v. 烤，烘焙 n. 烤；烘烤食品,
bakery,n.  面包店,
balance,vt. 称； 平衡 n. 天平， 秤；平衡， 均衡 A <；差额， 结余， 余款,
balcony,n.  阳台； 楼厅， 楼座,
